"Trade Association ID","Sector Grouping","Association Name","Website Link","Sectors","Brief Description"
"TRADE_ASSOCIATION_0014","Agri Food and Drink","Agricultural Industries Confederation (AIC)","https://www.agindustries.org.uk/","Agriculture Horticulture and Fisheries","The Agricultural Industries Confederation (AIC) is the agrisupply industry’s leading trade association. Formed in October 2003 by a merger of three trade associations AIC has over 250 Members in the agrisupply trade and represents £6.5 bil"
"TRADE_ASSOCIATION_0015","Agri Food and Drink","Aquaculture Research Collaborative Hub UK (ARCH UK)","https://www.aquaculturehub-uk.com/","Aquaculture","ARCH-UK supports the UKRI Aquaculture Initiative championing science which addresses the fundamental knowledge gaps preventing the sustainable development of UK aquaculture through our eight working groups. They invest in science communica"
"TRADE_ASSOCIATION_0016","Agri Food and Drink","Aquaculture Stewardship Council (ASC)","https://www.asc-aqua.org/","Aquaculture","The Aquaculture Stewardship Council (ASC) is the world’s leading certification scheme for farmed seafood – known as aquaculture – and the ASC label only appears on food from farms that have been independently assessed and certified as being"
"TRADE_ASSOCIATION_0017","Agri Food and Drink","Brewing Food and Beverage Industry Suppliers Association (BFBI)","https://www.bfbi.org.uk/","Food and Drink","BFBi is the only trade association representing suppliers throughout the entire beverage industry rather than an individual sector."
"TRADE_ASSOCIATION_0018","Agri Food and Drink","British Association of Feed Supplement and Additive Manufacturers (BAFSAM)","https://www.bafsam.org/","Agriculture Horticulture and Fisheries","Formed in 1968 BAFSAM is the British Association of Feed Supplement and Additive Manufacturers; a trade association representing manufacturers and processors of animal feed additives speciality feed ingredients premixtures and feed suppl"
"TRADE_ASSOCIATION_0019","Agri Food and Drink","British Beer and Pub Association (BBPA)","https://beerandpub.com/","Food and Drink","The British Beer & Pub Association is the leading body representing Britain’s brewers and pub companies. Their members account for some 90% of beer brewed in Britain today and around half of the nation’s pubs. These members are also divers"
"TRADE_ASSOCIATION_0020","Agri Food and Drink","British Frozen Food Federation (BFFF)","https://bfff.co.uk/","Food and Drink","The BFFF promotes and protects the interests of the UK frozen food industry.  It provides membership services and networking events."
"TRADE_ASSOCIATION_0021","Agri Food and Drink","British Growers Association","https://britishgrowers.org/","Agriculture Horticulture and Fisheries","British Growers Association is a grower owned grower led not for profit umbrella group comprising a range of organisations operating in the UK horticulture industry and fresh produce sector. The membership includes Crop Associations Prod"
"TRADE_ASSOCIATION_0022","Agri Food and Drink","British Meat Processors Association (BMPA)","https://britishmeatindustry.org/","Food and Drink","The British Meat Processors Association (BMPA) is the leading trade association in the meat and meat products sector in the British food industry."
"TRADE_ASSOCIATION_0023","Agri Food and Drink","British Nutrition Foundation (BNF)","https://www.nutrition.org.uk/","Food and Drink","The British Nutrition Foundation (BNF) a registered charity was established in 1967 to stimulate research and education in the field of nutrition and to provide a neutral forum for those with an interest in food and nutrition from divers"
"TRADE_ASSOCIATION_0024","Agri Food and Drink","British Sandwich and Food to Go Association","https://www.sandwich.org.uk/","Food and Drink","Founded in 1990 the British Sandwich Association is the voice of the UK's sandwich industry. It sets technical standards encourages innovation and excellence while providing a collective voice for all involved in the making distribution"
"TRADE_ASSOCIATION_0025","Agri Food and Drink","British Soft Drinks Association (BSDA)","https://www.britishsoftdrinks.com/","Food and Drink","The British Soft Drinks Association is the national trade association representing the collective interests of producers and manufacturers of soft drinks including carbonated drinks still and dilutable drinks fruit juices and smoothies a"
"TRADE_ASSOCIATION_0026","Agri Food and Drink","Centre for Innovation Excellence in Livestock (CIEL)","https://www.cielivestock.co.uk/","Agriculture Horticulture and Fisheries","CIEL is the UK’s Centre for Innovation Excellence in Livestock; a world-leading farm animal research alliance helping to bring new technologies and processes to livestock food production within the UK and worldwide."
"TRADE_ASSOCIATION_0027","Agri Food and Drink","Chartered Institute of Horticulturem (CIH)","https://www.horticulture.org.uk/","Agriculture Horticulture and Fisheries","CIH is the professional voice for horticulture open to any professional within the horticultural industry from those at the beginning of their education or career to those already well established within the field. CIH has the aim of fos"
"TRADE_ASSOCIATION_0028","Agri Food and Drink","Commercial Horticultural Association (CHA)","https://www.cha-hort.com/","Agriculture Horticulture and Fisheries","The Commercial Horticultural Association (CHA) is the British trade association for manufacturers and suppliers of plants products and services to commercial horticultural growers throughout the world. The CHA showcases the best of British"
"TRADE_ASSOCIATION_0029","Agri Food and Drink","CropLife UK","https://www.croplife.uk/","Agriculture Horticulture and Fisheries","CropLife UK is the voice of the UK plant science industry. Their mission is to promote the essential role of science and innovation in protecting food parks gardens sports pitches roads and railways. They also aim to represent the innov"
"TRADE_ASSOCIATION_0030","Agri Food and Drink","Dairy UK","https://www.dairyuk.org/","Agriculture Horticulture and Fisheries","Dairy UK is the trade association for the British dairy supply chain. It brings together farmers dairy co-operatives and manufacturers bottle milk buyers and milkmen throughout the United Kingdom. This supply chain approach is unique with"
"TRADE_ASSOCIATION_0031","Agri Food and Drink","Drink Welsh (DW)","https://drinkwelsh.co.uk/","Food and Drink","This association supports collaborative work to promote the Welsh Drinks industry across the world. The more recognition the Welsh Drinks industry achieves oversees the greater the opportunity for future growth in this sector. By using the"
"TRADE_ASSOCIATION_0032","Agri Food and Drink","Federation of  Bakers (FOB)","https://www.fob.uk.com/","Food and Drink","The Federation of Bakers represents the interests of the UK's largest baking companies who manufacture sliced and wrapped bread bakery snacks and other bread products. It is a £3 billion industry at retail sales value employing 20000 peop"
"TRADE_ASSOCIATION_0033","Agri Food and Drink","Fera Science Ltd","https://www.fera.co.uk/","Agriculture Horticulture and Fisheries","Fera is a national and international centre of excellence for interdisciplinary investigation and problem solving across plant and bee health crop protection sustainable agriculture food and feed quality and chemical safety in the enviro"
"TRADE_ASSOCIATION_0034","Agri Food and Drink","Fisheries Society of the British isles (FSBI)","https://fsbi.org.uk/","Aquaculture","The FSBI is an international non-political learned society based in the United Kingdom that supports scientific activity in fish biology and fisheries science through charitable activities including grant funding travel awards and confe"
"TRADE_ASSOCIATION_0035","Agri Food and Drink","Food and Drink Exporters Association (FDEA)","https://www.ukfdea.com/","Food and Drink","The FDEA represents UK food and drink companies to the international buying community and to the UK government. They are a not-for-profit association with members from across the UK food and drink sector. Run by experienced exporters membe"
"TRADE_ASSOCIATION_0036","Agri Food and Drink","Food and Drink Federation (FDF)","https://www.fdf.org.uk/","Food and Drink","The Food and Drink Federation is the voice of the UK food and drink industry the largest manufacturing sector in the country."
"TRADE_ASSOCIATION_0037","Agri Food and Drink","Food and Drink North East","https://www.fadne.org/","Food and Drink","Food and Drink North East (FADNE) are a community interest company (CIC) made up of local business owners and experts who understand the challenges the food drink and hospitality sectors face and are working together to solve them.  They a"
"TRADE_ASSOCIATION_0038","Agri Food and Drink","Greater Lincolnshire Food Board","https://www.greaterlincolnshirelep.co.uk/about/boards/lep-food-board/","Food and Drink","The Food Board is focused on the vision for a national UK food valley and driving investment funding research innovation and automation opportunities. The purpose of the Food Board is to drive opportunities and developments in the Agri-f"
"TRADE_ASSOCIATION_0039","Agri Food and Drink","Grow Yorkshire","https://www.ynylep.com/initiatives/grow-yorkshire","Agriculture Horticulture and Fisheries","Grow Yorkshire is a Y&NY LEP initiative for food and farming as vital sectors within our region. Together with their partners Y&NY LEP are investing in the growth and development of food and farming with a strategic remit across Environmen"
"TRADE_ASSOCIATION_0040","Agri Food and Drink","Health Food Manufacturers Association (HFMA)","https://hfma.co.uk/","Agriculture Horticulture and Fisheries","The Health Food Manufacturers Association (HFMA) was founded in 1965 to represent the interests of manufacturers and suppliers of specialist health products in the UK."
"TRADE_ASSOCIATION_0041","Agri Food and Drink","Ice Cream Alliance","https://www.ice-cream.org/","Food and Drink","The Ice Cream Alliance is the only membership trade association for the Ice Cream Industry in the UK. Their aim is to encourage and support the production vending and consumption of premium ice creams and other frozen treats.  As the organ"
"TRADE_ASSOCIATION_0042","Agri Food and Drink","Institute of Brewing and Distilling","https://www.ibd.org.uk/home/","Food and Drink","The Institute of Brewing & Distilling (IBD)is a members organisation which is both a registered educational charity and company limited by guarantee. The IBD's Vision Statement is: The advancement of education and professional development i"
"TRADE_ASSOCIATION_0043","Agri Food and Drink","Institute of Fisheries Management (IFM)","https://ifm.org.uk/","Aquaculture","The IFM is an international organisation dedicated to the advancement of sustainable fisheries management. IFM is a non-profit organisation controlled by members and managed by a board of Trustees. Membership is open to anyone with an inte"
"TRADE_ASSOCIATION_0044","Agri Food and Drink","Institute of Food Science and Technology (IFST)","https://www.ifst.org/","Agriculture Horticulture and Fisheries","IFST are the UK’s leading professional body for those involved in all aspects of food science and technology. They are an internationally respected independent membership body supporting food professionals through knowledge sharing and pro"
"TRADE_ASSOCIATION_0045","Agri Food and Drink","Institute of Grocery Distribution (IGD)","https://www.igd.com/","Food and Drink","The Institute of Grocery Distribution (IGD) is a team of experts dedicated to the development of the food and grocery industry and committed to the needs of its consumers."
"TRADE_ASSOCIATION_0046","Agri Food and Drink","Marine Biology Association (MBA)","https://www.mba.ac.uk/","Agriculture Horticulture and Fisheries","The Marine Biological Association (MBA) is one of the world’s longest-running societies dedicated to conducting promoting and supporting scientific research into our oceans and the life they support."
"TRADE_ASSOCIATION_0047","Agri Food and Drink","National Farmer's Union (NFU)","https://www.nfuonline.com/","Agriculture Horticulture and Fisheries","The NFU is the most successful representation body for agriculture and horticulture in England and Wales. NFU's job as the voice of British farming is to ensure that their members' businesses can thrive in the years ahead. Using their in-ho"
"TRADE_ASSOCIATION_0048","Agri Food and Drink","Nationwide Caterers Association (NCASS)","https://www.ncass.org.uk/","Food and Drink","The association provides caterers with the information systems and support to be safe legal and profitable."
"TRADE_ASSOCIATION_0049","Agri Food and Drink","North Western Inshore Fisheries and Conservation Authority (NW-IFCA)","https://www.nw-ifca.gov.uk/","Agriculture Horticulture and Fisheries","North Western Inshore Fisheries and Conservation Authority will lead champion and manage a sustainable marine environment and inshore fisheries in its District by successfully securing the right balance between social environmental and ec"
"TRADE_ASSOCIATION_0050","Agri Food and Drink","Northern Ireland Food and Drink Association (NIFD)","https://nifda.co.uk/","Food and Drink","NIFDA is a voluntary organisation committed to helping Northern Ireland food and beverage companies compete successfully and to represent and promote their interests.  It was established to provide services to enhance promote inform educ"
"TRADE_ASSOCIATION_0051","Agri Food and Drink","Pet Food Manufacturers Association (PFMA)","https://www.pfma.org.uk/","Pets","PFMA is the principal trade body representing the UK pet food industry. The association aims to be the credible voice of a responsible pet food industry. While striving to achieve a balanced regulatory environment for the production of nutr"
"TRADE_ASSOCIATION_0052","Agri Food and Drink","Pet Industry Federation (PIF)","http://www.petcare.org.uk/","Pets","The Pet Industry Federation (PIF) is the membership association for pet industry specialists in the UK. They are the only organisation to represent all types of businesses the pet industry: groomers pet boarders pet retailers and manufact"
"TRADE_ASSOCIATION_0053","Agri Food and Drink","Royal Welsh Agricultural Society (RWAS)","https://rwas.wales/","Agriculture Horticulture and Fisheries","The Royal Welsh Agricultural Society has played a leading role in the development of agriculture and the rural economy in Wales for over a century since its formation in 1904. Their work includes providing support for business social welfa"
"TRADE_ASSOCIATION_0054","Agri Food and Drink","Rural Network Northern Ireland (RNNI)","https://ruralnetworkni.org.uk/","Agriculture Horticulture and Fisheries","Established as part of the Northern Ireland Rural Development Programme the Rural Network for Northern Ireland is designed to help and support the implementation and delivery of the programme across all axes."
"TRADE_ASSOCIATION_0055","Agri Food and Drink","Salmon Scotland","https://www.salmonscotland.co.uk/","Agriculture Horticulture and Fisheries","Salmon Scotland is at the centre of salmon farming’s industry-wide initiatives and public communication acting as a trusted source of information a strong industry voice and a focus through which industry leadership and objectives can be"
"TRADE_ASSOCIATION_0056","Agri Food and Drink","Scottish Association for Marine Science (SAMS)","https://www.sams.ac.uk/","Agriculture Horticulture and Fisheries","The Scottish Association for Marine Science (SAMS) is Scotland's premier independent marine science organisation generating new knowledge for the benefit of the marine environment and society since 1884. The association researches how the m"
"TRADE_ASSOCIATION_0057","Agri Food and Drink","Scottish Bakers (SB)","https://scottishbakers.org/","Food and Drink","Scottish Bakers is the trading name of the Scottish Association of Master Bakers (SAMB) which was established in 1891 and since then it has represented and promoted the interests of the bakery trade in Scotland. Scottish Bakers aims to be a"
"TRADE_ASSOCIATION_0058","Agri Food and Drink","Scottish Distillers Association","https://distillers.scot/","Food and Drink","The Scottish Distillers Association is the representative body for distillers in Scotland. Their aim is to promote the craft of distilling and protect Scotland’s reputation as a worldwide centre of excellence in the production of distilled"
"TRADE_ASSOCIATION_0059","Agri Food and Drink","Scotland Food and Drink (SFD)","https://scotlandfoodanddrink.org/","Food and Drink","Scotland Food & Drink established in 2007 is a not-for-profit organisation that was created to guide food and drink companies of all sizes towards increased profitability. Their mission is to grow the industry to a value of £16.5 billion"
"TRADE_ASSOCIATION_0060","Agri Food and Drink","Scottish Fishermen's Federation (SFF)","https://sff.co.uk/","Agriculture Horticulture and Fisheries","The Scottish Fishermen's Federation (SFF) was formed in 1973 to preserve and promote the collective interests of Scotland’s fishermen's associations. The Federation plays an active role in advancing the interests of Scottish fishermen at na"
"TRADE_ASSOCIATION_0061","Agri Food and Drink","Scottish Food Trade Association (SFTA)","https://sfta.org.uk/","Food and Drink","The Scottish Food Trades Association is the principal networking organisation for the food industry in Scotland. It exists to help all food businesses in Scotland by facilitating regular exchange of ideas and information between members."
"TRADE_ASSOCIATION_0062","Agri Food and Drink","Seafish","https://www.seafish.org/","Aquaculture","Seafish is a non-departmental public body (NDPB) which supports the seafood sector in the UK to help it thrive. Seafish tackle everything from research to campaigns and insights to training."
"TRADE_ASSOCIATION_0063","Agri Food and Drink","Society of Independent Brewers (SIBA)","https://www.siba.co.uk/","Food and Drink","SIBA currently represents around 830 independent craft breweries with a vision ‘to deliver the future of British beer’ as the ‘voice of British independent Brewing’. As well representing their independent craft brewing members in the press"
"TRADE_ASSOCIATION_0064","Agri Food and Drink","Southern Inshore Fisheries and Conservation Authority (IFCA)","https://www.southern-ifca.gov.uk/default.aspx","Aquaculture","Southern Inshore Fisheries and Conservation Authority will lead champion and manage a sustainable marine environment and inshore fisheries by securing the right balance between social environmental and economic benefits to ensure healthy"
"TRADE_ASSOCIATION_0065","Agri Food and Drink","South West Aquaculture Network (SWAN)","https://maritimeuksw.org/oceanscienceaquaculture/south-west-aquaculture-network-swan/","Aquaculture","SWAN provides the aquaculture and agri-tech industries with key development and collaboration opportunities to grow the sector holistically providing food security and contributing to the UK Government’s commitment to Net-Zero Carbon by 20"
"TRADE_ASSOCIATION_0066","Agri Food and Drink","Tenant Farmers Association (TFA)","https://tfa.org.uk/","Agriculture Horticulture and Fisheries","The Tenant Farmers Association was formed in 1981 by a group of farmers who felt that their interests were not being forcefully represented by existing bodies. The TFA is the only organisation dedicated to the agricultural tenanted sector a"
"TRADE_ASSOCIATION_0067","Agri Food and Drink","The Chilled Food Association (CFA)","https://www.chilledfood.org/","Food and Drink","CFA’s role is to champion best practice hygiene standards for UK chilled prepared food – one of the fastest-growing most innovative and advanced food markets in the world. CFA represents many of the best-known UK chilled food manufacturers"
"TRADE_ASSOCIATION_0068","Agri Food and Drink","The Horticultural Trades Association (HTA)","https://hta.org.uk/","Agriculture Horticulture and Fisheries","The Horticultural Trades Association (HTA) is the trade association for the UK garden industry. It is dedicated to helping develop the industry and its member businesses including most garden centres and other garden retailers growers la"
"TRADE_ASSOCIATION_0069","Agri Food and Drink","The Horticultural Trades Association (HTA)","https://hta.org.uk/","Garden Industry","The Horticultural Trades Association (HTA) is the trade association for the UK garden industry. It is dedicated to helping develop the industry and its member businesses including most garden centres and other garden retailers growers la"
"TRADE_ASSOCIATION_0070","Agri Food and Drink","The Nutrition Society","https://www.nutritionsociety.org/","Food and Drink","The Nutrition Society is a scientific learned society disseminating the science of nutrition.  It is a registered charity in the United Kingdom and was established in 1941. It is dedicated to delivering its mission of advancing the scient"
"TRADE_ASSOCIATION_0071","Agri Food and Drink","UK Flour Millers","https://www.ukflourmillers.org/","Agriculture Horticulture and Fisheries","Formerly the National Association of British and Irish Millers (NABIM) UK Flour Millers has three principle functions: to promote the flour milling industry's views to government parliamentarians regulators the media and other intereste"
"TRADE_ASSOCIATION_0072","Agri Food and Drink","UK Fresh Produce Network","https://www.lincs-chamber.co.uk/membership/uk-fpn-reasons/","Food and Drink","UK Fresh Produce Network (ukFPN) is a network to link UK fresh produce companies with the local and national supply chain. Their mission is to provide outstanding value for their members by helping them grow their business develop their ca"
"TRADE_ASSOCIATION_0073","Agri Food and Drink","UK Soil Association","https://www.soilassociation.org/","Agriculture Horticulture and Fisheries","The Soil Association is the charity that digs deeper to transform the way we eat farm and care for our natural world. Working together with farmers businesses policymakers and fellow citizens the Soil Association's work has made an impa"
"TRADE_ASSOCIATION_0074","Agri Food and Drink","UK Tea & Infusions Association","https://www.tea.co.uk/","Food and Drink","The UK Tea & Infusions Association is an independent non-profit making body dedicated to promoting tea and herbal infusions and their unique story for the benefit of those who produce sell and enjoy tea and herbal infusion products. They r"
"TRADE_ASSOCIATION_0075","Agri Food and Drink","UK Urban AgriTech (UKUAT)","https://ukuat.org/","Agriculture Horticulture and Fisheries","The UK Urban AgriTech collective (UKUAT) brings together the UK’s key players in the world of Controlled Environment Agriculture (CEA). UKUAT are a cross-industry group comprising growers researchers equipment producers architects educa"
"TRADE_ASSOCIATION_0076","Agri Food and Drink","Westmorland County Agricultural Society (WCAS)","https://westmorlandshow.co.uk/","Agriculture Horticulture and Fisheries","Founded in 1799 and becoming a registered charity limited by guarantee in 1996 the Westmorland County Agricultural Society is dedicated to promoting the following objectives: agriculture horticulture allied industries rural crafts and"
"TRADE_ASSOCIATION_0077","Agri Food and Drink","Wine and Spirit Trade Association","https://www.wsta.co.uk/","Food and Drink","The WSTA represents over 340 companies producing importing exporting transporting and selling wines and spirits in the United Kingdom. WSTA members range from major retailers brand owners and wholesalers to fine wine and spirit speciali"
"TRADE_ASSOCIATION_0078","Agri Food and Drink","Yorkshire Agricultural Society (YAS)","https://yas.co.uk/","Agriculture Horticulture and Fisheries","The Yorkshire Agricultural Society was founded in 1837 to help improve and promote agriculture in the region. Educating future generations is an important part of the Society’s work as is encouraging and supporting the agricultural communi"
"TRADE_ASSOCIATION_0079","Defence and Security","Aerospace Defence Security and Space (ADS)","https://www.adsgroup.org.uk/","Defence","ADS represents and supports more than 1100 UK businesses operating in the aerospace defence security and space sectors. Whether representing industry connecting members with business opportunities or driving forward innovation and growth"
"TRADE_ASSOCIATION_0080","Defence and Security","Association of Security Consultants (ASC)","https://securityconsultants.org.uk/","Security","Founded in 1991 the Association of Security Consultants is recognised as the professional organisation for independent security consultants representing their interests and promoting their activities."
"TRADE_ASSOCIATION_0081","Defence and Security","British Security Industry Association (BSIA)","https://www.bsia.co.uk/","Security","The British Security Industry Association (BSIA) is the trade association for the professional security industry in the UK. Their members are responsible for more than 70% of privately provided UK security products and services (by turnover"
"TRADE_ASSOCIATION_0082","Defence and Security","National Security Inspectorate (NSI)","https://www.nsi.org.uk/","Security","The National Security Inspectorate is the UK's most highly trusted and respected independent UKAS-accredited certification body in the security and fire safety sector. Their mission is to secure the highest standards of safety and securit"
"TRADE_ASSOCIATION_0083","Digital Retail Education Creative and Sports","Advertising Association","https://adassoc.org.uk/","Advertising","The Advertising Association (AA) promotes the role rights and responsibilities of advertising in the UK. The AA has led the UK advertising industry towards a system of self-regulation that has since been adopted around the world. Nearly 30"
"TRADE_ASSOCIATION_0084","Digital Retail Education Creative and Sports","Advertising Producers Association (APA)","https://www.a-p-a.net/","Advertising","The Advertising Producers Association was formed by and represents the interests of production companies post production immersive music sound design VFX and editing companies making commercials."
"TRADE_ASSOCIATION_0085","Digital Retail Education Creative and Sports","Advertising Standards Authority (ASA)","https://www.asa.org.uk/","Advertising","The Advertising Standards Authority (ASA) is the UK's independent advertising regulator. The ASA ensures that ads across UK media stick to the advertising rules (the Advertising codes). The Committee of Advertising Practice (CAP) is the sis"
"TRADE_ASSOCIATION_0086","Digital Retail Education Creative and Sports","Animation Alliance UK","https://www.animationallianceuk.org/","Creative Media","Animation Alliance UK is a broad informal association of independent animation professionals – animators artists programmers producers researchers critics academics studios festivals – across a wide range of creative and profession"
"TRADE_ASSOCIATION_0087","Digital Retail Education Creative and Sports","Animation UK","https://www.animationuk.org/","Creative Media","Animation UK is a broad association of animation professionals providing business intelligence and access to export markets."
"TRADE_ASSOCIATION_0088","Digital Retail Education Creative and Sports","Associated Independent Stores (AIS)","https://www.aistores.co.uk/","Retail","Associated Independent Stores or AIS for short is the largest independent non-food buying group of its kind in the UK and Ireland. The Group overall has more than 300 members with a combined retail turnover of around £2 billion out of ove"
"TRADE_ASSOCIATION_0089","Digital Retail Education Creative and Sports","Association for Learning Technology","https://www.alt.ac.uk/","Creative Media","ALT is the UK's leading membership organisation in the learning technology field. Its purpose is to ensure that use of learning technology is effective and efficient informed by research and practice and grounded in an understanding of th"
"TRADE_ASSOCIATION_0090","Digital Retail Education Creative and Sports","Association for Contemporary Jewellery (ACJ)","https://www.acj.org.uk/","Retail","The ACJ aims to promote greater understanding of contemporary jewellery support jewellers’ creative and professional development and develop audiences for this lively field of contemporary craft and design."
"TRADE_ASSOCIATION_0091","Digital Retail Education Creative and Sports","Association of Convenience Stores Ltd (ACS)","https://www.acs.org.uk/","Retail","ACS (The Association of Convenience Stores) is the voice of over 33500 local shops supporting members through effective lobbying comprehensive advice and innovative networking opportunities. ACS’ core purpose is to lobby Government on th"
"TRADE_ASSOCIATION_0092","Digital Retail Education Creative and Sports","Association of Electrical and Mechanical T+A45:E50rades","https://www.theaemt.com/","Electronics and IT Hardware","The AEMT is the Trade Association for all companies who supply repair or service electrical & mechanical equipment. The Association is in the forefront of developing repair standards efficiency programmes and training courses in partn"
"TRADE_ASSOCIATION_0093","Digital Retail Education Creative and Sports","Association of Master Upholsterers and Soft Furnishers (AMUSF)","https://amusf.org/","Retail","The AMUSF was founded in 1947 to protect the interests of upholsterers small furniture makers and soft furnishers. The Association now also provides services to members including advice on sourcing materials Health and Safety HR fire s"
"TRADE_ASSOCIATION_0094","Digital Retail Education Creative and Sports","Association of Motion Picture Sound","https://www.amps.net/","Creative Media","The Association of Motion Picture Sound which is not a trade union was founded in 1989 by a UK based group of like-minded Film and Television sound professionals. The aim was to establish an organisation where those engaged in the various"
"TRADE_ASSOCIATION_0095","Digital Retail Education Creative and Sports","Association of Scottish Visitor Attractions (ASVA)","https://asva.co.uk/","Tourism","ASVA’s mission is to support and inspire Scottish visitor attractions to deliver sustainable world class experiences. They represent the very best visitor attractions in Scotland some 450 in all."
"TRADE_ASSOCIATION_0096","Digital Retail Education Creative and Sports","Association of Suppliers to the British Clothing Industry (ASBCI)","https://www.asbci.co.uk/","Fashion","ASBCI is a unique association with members who represent connections with and knowledge of all the key sectors of the industry. It is a centre of technical and commercial excellence where companies at the forefront of the specific sectors c"
"TRADE_ASSOCIATION_0097","Digital Retail Education Creative and Sports","BAME in Games (BiG)","https://bameingames.org/","Creative Media","BAME in Games also known as BiG is a grass-roots advocacy group dedicated to improving ethnic diversity and encouraging minorities to work within the games and broader entertainment industry. Founded in 2016 BiG has since developed int"
"TRADE_ASSOCIATION_0098","Digital Retail Education Creative and Sports","Bed and Breakfast Association","http://www.bandbassociation.org/","Tourism","The Bed & Breakfast Association is the UK trade association for B&Bs and Guest Houses."
"TRADE_ASSOCIATION_0099","Digital Retail Education Creative and Sports","BIMA","https://bima.co.uk/","Advertising","The British Interactive Media Association (BIMA) exists to do four key things: Support and promote the British digital industry; Share knowledge and best practice; Reward great work and Encourage the next generation. The association represe"
"TRADE_ASSOCIATION_0100","Digital Retail Education Creative and Sports","Branded Content Marketing Association (BCMA)","https://www.thebcma.info/","Advertising","The BCMA was established in 2003 and is the leading global member association; promoting the value of branded content and influencer markteting. The BCMA sets industry standards for best practice celebrates success measures effectiveness"
"TRADE_ASSOCIATION_0101","Digital Retail Education Creative and Sports","British Amusement Catering Trades Association (BACTA)","https://bacta.org.uk/","Leisure","BACTA is the voice of the British Amusement Industry representing all Divisions from large manufacturers through to small seaside arcades. It aims to improve the image of the industry encourage good practice and create an optimal trading"
"TRADE_ASSOCIATION_0102","Digital Retail Education Creative and Sports","British Beauty Council","https://britishbeautycouncil.com/","Retail","The British Beauty Council represents the voices opinions and needs of the hair beauty and wellness industries. Become a part of our exciting organisation and support us in our mission to raise the reputation of the beauty industry enhanc"
"TRADE_ASSOCIATION_0103","Digital Retail Education Creative and Sports","British Brands Group","https://www.britishbrandsgroup.org.uk/","Branding","The British Brands Group are a membership organisation dedicated to championing brands in the UK. Their objective is to ensure that the UK is a great place to create build and sustain brands and that brands’ positive contribution to consum"
