CurrentURL,NewAbsoluteUri,NewURL
/export-opportunities/opportunities/50000000-5-repair-and-maintenance-services-integral-maintenance-service-and-service-provision-for-electromedical-equipment-of-the-brand-drager-with-technical-collaboration-and-logistic-support-of-the-manufacturer-for-the-drager-centers,https://business.gov.uk/export-opportunities/opportunities/50000000-5-repair-and-maintenance-services-integral-maintenance-service-and-service-provision-for-electromedical-equipment-of-the-brand-drager-with-technical-collaboration-and-logistic-support-of-the-manufacturer-for-the-drager-centers/,/export-opportunities/opportunities/50000000-5-repair-and-maintenance-services-integral-maintenance-service-and-service-provision-for-electromedical-equipment-of-the-brand-drager-with-technical-collaboration-and-logistic-support-of-the-manufacturer-for-the-drager-centers
/export-opportunities/opportunities/50422000-9-surgical-equipment-repair-and-maintenance-services-cca-6-6e6s9y-integral-maintenance-service-for-surgical-instruments-of-the-reina-sofia-university-hospital-and-the-valle-de-los-pedroches-regional-hospital-surgical-area,https://business.gov.uk/export-opportunities/opportunities/50422000-9-surgical-equipment-repair-and-maintenance-services-cca-6-6e6s9y-integral-maintenance-service-for-surgical-instruments-of-the-reina-sofia-university-hospital-and-the-valle-de-los-pedroches-regional-hospital-surgical-area/,/export-opportunities/opportunities/50422000-9-surgical-equipment-repair-and-maintenance-services-cca-6-6e6s9y-integral-maintenance-service-for-surgical-instruments-of-the-reina-sofia-university-hospital-and-the-valle-de-los-pedroches-regional-hospital-surgical-area
/export-opportunities/opportunities/70112000-9-promotion-of-non-residential-real-estate-disposal-of-real-estate-owned-by-the-housing-and-rehabilitation-agency-of-andalusia-through-the-procedures-of-auction-and-public-tender-for-bids-for-the-purchase-of-land-res,https://business.gov.uk/export-opportunities/opportunities/70112000-9-promotion-of-non-residential-real-estate-disposal-of-real-estate-owned-by-the-housing-and-rehabilitation-agency-of-andalusia-through-the-procedures-of-auction-and-public-tender-for-bids-for-the-purchase-of-land-res/,/export-opportunities/opportunities/70112000-9-promotion-of-non-residential-real-estate-disposal-of-real-estate-owned-by-the-housing-and-rehabilitation-agency-of-andalusia-through-the-procedures-of-auction-and-public-tender-for-bids-for-the-purchase-of-land-res
/export-opportunities/opportunities/70310000-7-rental-or-sale-services-of-buildings-continuous-public-offering-for-the-lease-of-space-in-the-retse-cadiz-business-center-in-the-tecnobahia-technology-park-in-puerto-de-santa-maria-cadiz,https://business.gov.uk/export-opportunities/opportunities/70310000-7-rental-or-sale-services-of-buildings-continuous-public-offering-for-the-lease-of-space-in-the-retse-cadiz-business-center-in-the-tecnobahia-technology-park-in-puerto-de-santa-maria-cadiz/,/export-opportunities/opportunities/70310000-7-rental-or-sale-services-of-buildings-continuous-public-offering-for-the-lease-of-space-in-the-retse-cadiz-business-center-in-the-tecnobahia-technology-park-in-puerto-de-santa-maria-cadiz
/export-opportunities/opportunities/72000000-5-it-services-consulting-software-development-internet-and-support-support-and-maintenance-service-of-the-pathological-anatomy-information-system-for-the-health-centers-of-the-province-of-malaga-belonging-to-the-a,https://business.gov.uk/export-opportunities/opportunities/72000000-5-it-services-consulting-software-development-internet-and-support-support-and-maintenance-service-of-the-pathological-anatomy-information-system-for-the-health-centers-of-the-province-of-malaga-belonging-to-the-a/,/export-opportunities/opportunities/72000000-5-it-services-consulting-software-development-internet-and-support-support-and-maintenance-service-of-the-pathological-anatomy-information-system-for-the-health-centers-of-the-province-of-malaga-belonging-to-the-a
/export-opportunities/opportunities/79410000-1-commercial-and-management-consulting-services-approval-of-external-commercial-consultants-advertising-marketing-or-communication-agencies-and-independent-agents-among-others-for-cetursa-sierra-nevada-s-a,https://business.gov.uk/export-opportunities/opportunities/79410000-1-commercial-and-management-consulting-services-approval-of-external-commercial-consultants-advertising-marketing-or-communication-agencies-and-independent-agents-among-others-for-cetursa-sierra-nevada-s-a/,/export-opportunities/opportunities/79410000-1-commercial-and-management-consulting-services-approval-of-external-commercial-consultants-advertising-marketing-or-communication-agencies-and-independent-agents-among-others-for-cetursa-sierra-nevada-s-a
/export-opportunities/opportunities/79410000-1-commercial-and-management-consulting-services-approval-of-external-commercial-consultants-advertising-marketing-or-communication-agencies-and-independent-agents-among-others-for-cetursa-sierra-nevada-s-a/,https://business.gov.uk/export-opportunities/opportunities/79410000-1-commercial-and-management-consulting-services-approval-of-external-commercial-consultants-advertising-marketing-or-communication-agencies-and-independent-agents-among-others-for-cetursa-sierra-nevada-s-a/,/export-opportunities/opportunities/79410000-1-commercial-and-management-consulting-services-approval-of-external-commercial-consultants-advertising-marketing-or-communication-agencies-and-independent-agents-among-others-for-cetursa-sierra-nevada-s-a/
/export-opportunities/opportunities/abbreviated-bidding-30-sol-2024-administracion-nacional-de-educacion-publica-consejo-de-educacion-tecnico-profesional-national-administration-of-public-education-council-of-technical-professional-education/,https://business.gov.uk/export-opportunities/opportunities/abbreviated-bidding-30-sol-2024-administracion-nacional-de-educacion-publica-consejo-de-educacion-tecnico-profesional-national-administration-of-public-education-council-of-technical-professional-education/,/export-opportunities/opportunities/abbreviated-bidding-30-sol-2024-administracion-nacional-de-educacion-publica-consejo-de-educacion-tecnico-profesional-national-administration-of-public-education-council-of-technical-professional-education/
/export-opportunities/opportunities/acquisition-manufacturing-inspection-testing-kitting-storage-inventory-management-and-delivery-of-mk-82-guided-missile-director-and-spg-62-illuminator-antenna-kits-and-components-used-in-the-mk-99-fire-control-system-fcs-47376,https://business.gov.uk/export-opportunities/opportunities/acquisition-manufacturing-inspection-testing-kitting-storage-inventory-management-and-delivery-of-mk-82-guided-missile-director-and-spg-62-illuminator-antenna-kits-and-components-used-in-the-mk-99-fire-control-system-fcs-47376/,/export-opportunities/opportunities/acquisition-manufacturing-inspection-testing-kitting-storage-inventory-management-and-delivery-of-mk-82-guided-missile-director-and-spg-62-illuminator-antenna-kits-and-components-used-in-the-mk-99-fire-control-system-fcs-47376
/export-opportunities/opportunities/acquisition-of-elements-for-the-security-and-surveillance-of-the-laboratories-that-will-allow-ins-to-continue-with-the-research-processes-for-the-continuous-promotion-of-activities-based-on-science-research-and-technological-development-through/,https://business.gov.uk/export-opportunities/opportunities/acquisition-of-elements-for-the-security-and-surveillance-of-the-laboratories-that-will-allow-ins-to-continue-with-the-research-processes-for-the-continuous-promotion-of-activities-based-on-science-research-and-technological-development-through/,/export-opportunities/opportunities/acquisition-of-elements-for-the-security-and-surveillance-of-the-laboratories-that-will-allow-ins-to-continue-with-the-research-processes-for-the-continuous-promotion-of-activities-based-on-science-research-and-technological-development-through/
/export-opportunities/opportunities/acquisition-of-equipment-and-furniture-for-the-strengthening-of-the-police-station-of-the-municipality-of-villa-de-san-diego-de-ubate-through-the-territorial-fund-for-security-and-citizen-coexistence,https://business.gov.uk/export-opportunities/opportunities/acquisition-of-equipment-and-furniture-for-the-strengthening-of-the-police-station-of-the-municipality-of-villa-de-san-diego-de-ubate-through-the-territorial-fund-for-security-and-citizen-coexistence/,/export-opportunities/opportunities/acquisition-of-equipment-and-furniture-for-the-strengthening-of-the-police-station-of-the-municipality-of-villa-de-san-diego-de-ubate-through-the-territorial-fund-for-security-and-citizen-coexistence
/export-opportunities/opportunities/acquisition-of-radio-communications-equipment-and-accessories-for-the-administrative-and-operational-headquarters-of-the-sierra-de-la-macarena-tinigua-cordillera-de-los-picachos-serrania-de-chiribiquete-la-paya-alto-fragua-i,https://business.gov.uk/export-opportunities/opportunities/acquisition-of-radio-communications-equipment-and-accessories-for-the-administrative-and-operational-headquarters-of-the-sierra-de-la-macarena-tinigua-cordillera-de-los-picachos-serrania-de-chiribiquete-la-paya-alto-fragua-i/,/export-opportunities/opportunities/acquisition-of-radio-communications-equipment-and-accessories-for-the-administrative-and-operational-headquarters-of-the-sierra-de-la-macarena-tinigua-cordillera-de-los-picachos-serrania-de-chiribiquete-la-paya-alto-fragua-i
/export-opportunities/opportunities/acquisition-of-the-non-contractual-civil-liability-insurance-policy-for-1-the-mobile-park-the-attractions-or-amusement-devices-of-the-national-police-and-the-rollover-simulator-vehicle-of-the-road-safety-school,https://business.gov.uk/export-opportunities/opportunities/acquisition-of-the-non-contractual-civil-liability-insurance-policy-for-1-the-mobile-park-the-attractions-or-amusement-devices-of-the-national-police-and-the-rollover-simulator-vehicle-of-the-road-safety-school/,/export-opportunities/opportunities/acquisition-of-the-non-contractual-civil-liability-insurance-policy-for-1-the-mobile-park-the-attractions-or-amusement-devices-of-the-national-police-and-the-rollover-simulator-vehicle-of-the-road-safety-school
/export-opportunities/opportunities/adb-loan-no-4432-phi-and-aiib-loan-no-tbp-adb-project-p52310-001-republic-of-the-philippines-bataan-cavite-interlink-bridge-project-aiib-project-p000724-philippines-bataan-cavite-interlink-bridge-project-tranche-1,https://business.gov.uk/export-opportunities/opportunities/adb-loan-no-4432-phi-and-aiib-loan-no-tbp-adb-project-p52310-001-republic-of-the-philippines-bataan-cavite-interlink-bridge-project-aiib-project-p000724-philippines-bataan-cavite-interlink-bridge-project-tranche-1/,/export-opportunities/opportunities/adb-loan-no-4432-phi-and-aiib-loan-no-tbp-adb-project-p52310-001-republic-of-the-philippines-bataan-cavite-interlink-bridge-project-aiib-project-p000724-philippines-bataan-cavite-interlink-bridge-project-tranche-1
/export-opportunities/opportunities/adb-loan-no-4432-phi-and-aiib-loan-no-tbp-adb-project-p52310-001-republic-of-the-philippines-bataan-cavite-interlink-bridge-project-aiib-project-p000724-philippines-bataan-cavite-interlink-bridge-project-tranche-1-cp1-corrigendum,https://business.gov.uk/export-opportunities/opportunities/adb-loan-no-4432-phi-and-aiib-loan-no-tbp-adb-project-p52310-001-republic-of-the-philippines-bataan-cavite-interlink-bridge-project-aiib-project-p000724-philippines-bataan-cavite-interlink-bridge-project-tranche-1-cp1-corrigendum/,/export-opportunities/opportunities/adb-loan-no-4432-phi-and-aiib-loan-no-tbp-adb-project-p52310-001-republic-of-the-philippines-bataan-cavite-interlink-bridge-project-aiib-project-p000724-philippines-bataan-cavite-interlink-bridge-project-tranche-1-cp1-corrigendum
/export-opportunities/opportunities/adb-loan-no-4432-phi-and-aiib-loan-no-tbp-adb-project-p52310-001-republic-of-the-philippines-bataan-cavite-interlink-bridge-project-aiib-project-p000724-philippines-bataan-cavite-interlink-bridge-project-tranche-1-cp2-corrigendum,https://business.gov.uk/export-opportunities/opportunities/adb-loan-no-4432-phi-and-aiib-loan-no-tbp-adb-project-p52310-001-republic-of-the-philippines-bataan-cavite-interlink-bridge-project-aiib-project-p000724-philippines-bataan-cavite-interlink-bridge-project-tranche-1-cp2-corrigendum/,/export-opportunities/opportunities/adb-loan-no-4432-phi-and-aiib-loan-no-tbp-adb-project-p52310-001-republic-of-the-philippines-bataan-cavite-interlink-bridge-project-aiib-project-p000724-philippines-bataan-cavite-interlink-bridge-project-tranche-1-cp2-corrigendum
/export-opportunities/opportunities/administration-contract-of-public-space-in-real-estate-property-owned-by-the-special-district-of-medellin-made-with-asociacion-de-propietarios-de-la-urbanizacion-kalamari-ii-identified-with-real-estate-registration-339747-339748-339749,https://business.gov.uk/export-opportunities/opportunities/administration-contract-of-public-space-in-real-estate-property-owned-by-the-special-district-of-medellin-made-with-asociacion-de-propietarios-de-la-urbanizacion-kalamari-ii-identified-with-real-estate-registration-339747-339748-339749/,/export-opportunities/opportunities/administration-contract-of-public-space-in-real-estate-property-owned-by-the-special-district-of-medellin-made-with-asociacion-de-propietarios-de-la-urbanizacion-kalamari-ii-identified-with-real-estate-registration-339747-339748-339749
/export-opportunities/opportunities/advice-and-training-in-the-following-programs-safe-work-at-heights-sgsst-ilo-integrated-management-system-integrated-emergency-management-model-atenea-risk-free-construction-confined-space-load-lifting-mechanic-and-peli,https://business.gov.uk/export-opportunities/opportunities/advice-and-training-in-the-following-programs-safe-work-at-heights-sgsst-ilo-integrated-management-system-integrated-emergency-management-model-atenea-risk-free-construction-confined-space-load-lifting-mechanic-and-peli/,/export-opportunities/opportunities/advice-and-training-in-the-following-programs-safe-work-at-heights-sgsst-ilo-integrated-management-system-integrated-emergency-management-model-atenea-risk-free-construction-confined-space-load-lifting-mechanic-and-peli
/export-opportunities/opportunities/a-electricity-to-use-in-hiroshima-city-asahimachi-water-resources-reclamation-center-5-713-526-kwh-b-electricity-to-use-in-hiroshima-city-asahimachi-pumping-station-971-460-kwh-c-electricity-to-use-in-hiroshima-city-ujina-pumping-station-871-22/,https://business.gov.uk/export-opportunities/opportunities/a-electricity-to-use-in-hiroshima-city-asahimachi-water-resources-reclamation-center-5-713-526-kwh-b-electricity-to-use-in-hiroshima-city-asahimachi-pumping-station-971-460-kwh-c-electricity-to-use-in-hiroshima-city-ujina-pumping-station-871-22/,/export-opportunities/opportunities/a-electricity-to-use-in-hiroshima-city-asahimachi-water-resources-reclamation-center-5-713-526-kwh-b-electricity-to-use-in-hiroshima-city-asahimachi-pumping-station-971-460-kwh-c-electricity-to-use-in-hiroshima-city-ujina-pumping-station-871-22/
/export-opportunities/opportunities/a-electricity-to-use-in-moto-machi-building-waterworks-bureau-the-city-of-hiroshima-1-490-000-kwh-b-electricity-to-use-in-midorii-purification-plant-waterworks-bureau-the-city-of-hiroshima-1-534-678-kwh-c-electricity-to-use-in-koyo-purificati/,https://business.gov.uk/export-opportunities/opportunities/a-electricity-to-use-in-moto-machi-building-waterworks-bureau-the-city-of-hiroshima-1-490-000-kwh-b-electricity-to-use-in-midorii-purification-plant-waterworks-bureau-the-city-of-hiroshima-1-534-678-kwh-c-electricity-to-use-in-koyo-purificati/,/export-opportunities/opportunities/a-electricity-to-use-in-moto-machi-building-waterworks-bureau-the-city-of-hiroshima-1-490-000-kwh-b-electricity-to-use-in-midorii-purification-plant-waterworks-bureau-the-city-of-hiroshima-1-534-678-kwh-c-electricity-to-use-in-koyo-purificati/
/export-opportunities/opportunities/a-fuel-oil-a-jis-class-1-approximately-392-000-liters-b-fuel-oil-a-jis-class-1-approximately-826-000-liters-c-fuel-oil-a-jis-class-1-approximately-679-000-liters-d-fuel-oil-a-jis-class-1-approximately-566-000-liters-e-fuel-oil-a-jis-class/,https://business.gov.uk/export-opportunities/opportunities/a-fuel-oil-a-jis-class-1-approximately-392-000-liters-b-fuel-oil-a-jis-class-1-approximately-826-000-liters-c-fuel-oil-a-jis-class-1-approximately-679-000-liters-d-fuel-oil-a-jis-class-1-approximately-566-000-liters-e-fuel-oil-a-jis-class/,/export-opportunities/opportunities/a-fuel-oil-a-jis-class-1-approximately-392-000-liters-b-fuel-oil-a-jis-class-1-approximately-826-000-liters-c-fuel-oil-a-jis-class-1-approximately-679-000-liters-d-fuel-oil-a-jis-class-1-approximately-566-000-liters-e-fuel-oil-a-jis-class/
/export-opportunities/opportunities/ami-relative-a-l-occupation-de-courte-duree-d-une-dependance-du-domaine-public-a-titre-commercial-par-un-operateur-economique-ambulant-professionnel-du-secteur-de-la-restauration-pour-lille-neige-2025/,https://business.gov.uk/export-opportunities/opportunities/ami-relative-a-l-occupation-de-courte-duree-d-une-dependance-du-domaine-public-a-titre-commercial-par-un-operateur-economique-ambulant-professionnel-du-secteur-de-la-restauration-pour-lille-neige-2025/,/export-opportunities/opportunities/ami-relative-a-l-occupation-de-courte-duree-d-une-dependance-du-domaine-public-a-titre-commercial-par-un-operateur-economique-ambulant-professionnel-du-secteur-de-la-restauration-pour-lille-neige-2025/
/export-opportunities/opportunities/an-automation-solution-is-needed-to-make-the-operation-of-sap-system-landscapes-more-performant-secure-and-fail-safe-this-is-intended-to-standardize-and-automate-routine-tasks-in-sap-basis-operations-resulting-in-a-qualit,https://business.gov.uk/export-opportunities/opportunities/an-automation-solution-is-needed-to-make-the-operation-of-sap-system-landscapes-more-performant-secure-and-fail-safe-this-is-intended-to-standardize-and-automate-routine-tasks-in-sap-basis-operations-resulting-in-a-qualit/,/export-opportunities/opportunities/an-automation-solution-is-needed-to-make-the-operation-of-sap-system-landscapes-more-performant-secure-and-fail-safe-this-is-intended-to-standardize-and-automate-routine-tasks-in-sap-basis-operations-resulting-in-a-qualit
