Task ID,Task Title,Task Description 1,Task Description 2,Task CTA,Goods Task URL, Services Task URL,Task Output,Task Platform,Must Have Task,Task Difficulty,Task Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10410,Identify relevant events for my business,Industry events are one of the most effective ways to support companies looking for new trade opportunities in overseas markets.,"The Department for Business and Trade's calendar of events is updated regularly with both UK and overseas events, as well as overseas missions.  You can also join the UK Export Academy for a free calendar of live webinars covering everything from the essentials of exporting through to market and sector specific sessions.",Use this service,https://www.events.great.gov.uk/ehome/index.php?eventid=200183029&,https://www.events.great.gov.uk/ehome/index.php?eventid=200183029&,Service,great.gov.uk,no,Simple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10430,Register for an event ,"To register for an event, find the event or trade mission you are interested in, read the event details and click the link to register your interest.","The Department for Business and Trade's calendar of events is updated regularly with both UK and overseas events, as well as overseas missions.  You can also join the UK Export Academy for a free calendar of live webinars covering everything from the essentials of exporting through to market and sector specific sessions.",Use this service,https://www.events.great.gov.uk/ehome/index.php?eventid=200183029&,https://www.events.great.gov.uk/ehome/index.php?eventid=200183029&,Service,great.gov.uk,no,Simple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10440,Prepare for a market research trip or trade mission,"A trade mission is an organised visit to a country or region by a group of companies, usually set up by a government department, trade federation or similar organisation.","Most missions are a busy and varied programme of meetings, site visits, and networking socials with various local organisations. These can range from local businesses, distributors, and professional services to government departments, regional trade bodies and local consular staff.",Read the guidance,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/finding-customers-and-marketing-events/how-prepare-trade-mission/,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/finding-customers-and-marketing-events/how-prepare-trade-mission/,Guidance,great.gov.uk,no,Simple,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110,Explore ways to get goods or services to market,"From direct sales to using a distributor and from e-commerce to setting up a business overseas, there are many ways you can get your products or services into a target export market.","The most successful route into a market is the one which best suits your product, the country you're selling to, and most importantly, the customers in that market. But your appetite for growth and the stage your business is at may also be a factor.",Read the guidance,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/routes-to-market/choose-right-route-market/,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/routes-to-market/choose-right-route-market/,Guidance,great.gov.uk,no,Simple,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120,Understand how to work with a partner in market,"For many goods and services, the best way to enter a new market is through a partnership. This can be an agent or distributor, wholesaler, retailer or franchisee.","The type of partner you choose depends on the goods or services you're selling, and the business culture of your target market. In-market partners will have a good understanding of the local market conditions and trends, and how best to position your brand against the competition.",Read the guidance,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/routes-to-market/choose-right-route-market/,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/routes-to-market/choose-right-route-market/,Guidance,great.gov.uk,no,Simple,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20121,Find a partner in market ,We cannot currently provide a list of potential in-market partners in your chosen export market. Contact your trade association or chamber of commerce for help on finding the right partner for your business.,,,,,,,no,Simple,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130,Understand how to find a distributor in a market,"Distributors buy your products from you, usually at a discounted price, and sell them on in the marketplace. They'll hold stock locally and handle all logistics.","Working with a distributor is one of the most common ways to enter a market for goods exporters. They are a good option if you're looking to reduce the risk of entering a new market, but you will also lose some control over how your products are sold.",Read the guidance,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/routes-to-market/when-use-agent-or-distributor/,,Guidance,great.gov.uk,no,Simple,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131,Find a distributor in a market,We cannot currently provide a list of potential distributors in your chosen export market. Contact your trade association or chamber of commerce for help on finding the right distributor for your business.,,,,,,,no,Simple,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20140,Understand how to find an agent when exporting,Agents sell your products on your behalf. They don't hold any of your stock and transactions are made between your business and the end user.,"The main role of an agent is to generate sales, earning a commission as they do. They generally have good local knowledge and can be a simple and low-cost introduction to a new market. However, they are not suitable for all products or services.",Read the guidance,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/routes-to-market/when-use-agent-or-distributor/,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/routes-to-market/when-use-agent-or-distributor/,Guidance,great.gov.uk,no,Simple,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20141,Find an agent in a market,We cannot currently provide a list of potential agents in your chosen export market. Contact your trade association or chamber of commerce for help on finding the right agent for your business.,,,,,,,no,Simple,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150,Understand how to use ecommerce to expand overseas,"Selling online is one of the easier routes to market for new exporters, with less investment than some more traditional methods. Most businesses usually use a combination of digital channels to achieve the furthest reach.","As well as business-to-consumer websites and online marketplaces, business-to-business ecommerce is also increasingly popular. Major companies, governments, schools and hospitals often procure their goods and services online.  

But there can be costs involved in selling online overseas, including translation, currency conversion and hiring digital experts to help run the operation",Read the guidance,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/routes-to-market/international-e-commerce/,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/routes-to-market/international-e-commerce/,Guidance,great.gov.uk,no,Simple,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160,Understand how to sell direct to your customer,"Direct export sales involve contacting and selling to an overseas customer without using an intermediary, like a distributor. It can be lower-risk, but also requires time and effort to develop.","A good website and social media presence may get potential customers contacting you, but often you will need to reach out into the market to find them. 

You should know or be able to easily identify your potential customers, their problems or needs and be able to influence them to buy your product.",Read the guidance,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/routes-to-market/sell-direct-your-customer/,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/routes-to-market/sell-direct-your-customer/,Guidance,great.gov.uk,no,Simple,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170,Understand how to use licencing to sell overseas,"Licensing means giving a third party the right to make and sell your product, service, or intellectual property (IP) in a particular market, in return for a payment.","If you're a new business, it is usually not recommended to start selling with a licensing model. If you rely on your brand story to sell, you may not want to give up control before you're well established. 

But in some instances, licensing can be a cost-effective way to expand into a new market quickly without having to sell to customers directly. ",Read the guidance,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/routes-to-market/decide-whether-use-licensing/,,Guidance,great.gov.uk,no,Simple,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210,Understand local business culture,Business practices can vary widely across export markets. There's a much greater chance of a business deal being successful if you've built credibility by taking the time to understand the local culture.,"Use your network and talk to people who have worked in the market. If the business culture is relationship based, your customers may want to get to know you before doing a deal. But if it's transactional, be prepared to get right down to business.",Read the guidance,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/different-ways-of-doing-business-across-borders/understand-local-business-culture-your-target-market/,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/different-ways-of-doing-business-across-borders/understand-local-business-culture-your-target-market/,Guidance,great.gov.uk,no,Simple,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220,Manage bribery and corruption overseas,"Corrupt behaviour is often hard to spot, especially when you're operating in an unfamiliar culture. Before you do business with another organisation, it's important to carry out background checks.","When doing business, pay close attention if the people you're dealing with try to rush through any business without allowing for due diligence or provide very little paperwork.

Ask yourself ' does this seem appropriate or proportional? Does it make sense, and would you carry on doing business if this was happening back in the UK? ",Read the guidance,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/managing-safety-corruption-and-business-integrity-risk/protect-your-business-bribery-and-corruption/,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/managing-safety-corruption-and-business-integrity-risk/protect-your-business-bribery-and-corruption/,Guidance,great.gov.uk,yes,Simple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230,Understand payment terms,"Payment terms are agreements which ensure you get paid the right amount by your buyers, at a time that's right for you. Well-constructed payment terms are your first safeguard against non-payment.","Consumer sales are usually paid at the point of sale. But with business sales it can be more complex. The terms you agree with your buyers depend on several factors, including how much business you're negotiating and the level of non-payment risk in your export market.",Read the guidance,https://www.great.gov.uk/learn/categories/funding-financing-and-getting-paid/get-paid/decide-when-get-paid-export-orders/,https://www.great.gov.uk/learn/categories/funding-financing-and-getting-paid/get-paid/decide-when-get-paid-export-orders/,Guidance,great.gov.uk,no,Simple,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240,Ensure you get paid,"Different countries have different regulations and laws around payments. You may find your preferred method of payment won't be possible, so do your research before you start exporting.","You can negotiate payment terms to reduce the risk of non-payment ' for example, getting buyers to pay in advance if they're new to you. For larger payments or where you need more security, there are financial products provided by banks, such as letters of credit, which can reduce or remove risk. ",Read the guidance,https://www.great.gov.uk/learn/categories/funding-financing-and-getting-paid/get-paid/payment-methods-exporters/,https://www.great.gov.uk/learn/categories/funding-financing-and-getting-paid/get-paid/payment-methods-exporters/,Guidance,great.gov.uk,yes,Simple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20320,Setting up an overseas business entity,The first step in setting up a business in your target market is to do your research. Talk to other businesses already present and get legal and financial advice from local lawyers and accountants.,"Some markets are more straightforward than others when it comes to setting up a business. But you may not be able to simply replicate your domestic business model. You need to make sure you know about local business rules and regulations, employment laws and know how easy it is to recruit staff.",Read the guidance,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/routes-to-market/how-set-business-abroad/,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/routes-to-market/how-set-business-abroad/,Guidance,great.gov.uk,no,Simple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20330,Sending UK staff to work abroad,When sending staff to work abroad it's important you understand the rules around tax and National Insurance. How you calculate PAYE and NI depends on where they're working and how long you expect them to be working there.,"Employees who spend most of their time abroad over a period of a year or more may be able to obtain full UK tax relief on their earnings. If your employee is on an overseas contract, it's possible that the tax authorities in the overseas country will want to make tax deductions from your employee's income.",Read the guidance on GOV.UK,https://www.gov.uk/guidance/paying-employees-working-abroad,https://www.gov.uk/guidance/paying-employees-working-abroad,Guidance,GOV.UK,no,Simple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20350,Setting up a joint venture,A joint venture (JV) is a business partnership between 2 or more companies that enables the partners to work together towards a specific business goal.,"A joint venture with an overseas company can be a quick and cost-effective route into a new market. It's a great way to access regional knowledge, gain insights into local regulations and reduce risk to your business. But they can be complex, so make sure you have experienced legal and trading advice from the outset.",Read the guidance,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/routes-to-market/set-joint-ventures-abroad/,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/routes-to-market/set-joint-ventures-abroad/,Guidance,great.gov.uk,no,Simple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20360,Setting up a franchise overseas,A franchise is a business arrangement where you allow another person or business to copy your business name and processes and sell goods or services to specifications set by you.,"Make sure your franchise is attractive and create a pitch document to sell your franchise. Make sure your intellectual property, particularly your trademark, is protected in the target market. This should be done as early as possible and certainly before you enter into any business discussions.",Read the guidance,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/routes-to-market/setting-franchise-abroad/,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/routes-to-market/setting-franchise-abroad/,Guidance,great.gov.uk,no,Simple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20410,Understand what may class as Intellectual Property,"Intellectual property is often a company's most important and valued intangible asset. Patents, trademarks, design rights and copyrights can all be protected under IP laws.","Protecting your IP should be a fundamental part of your exporting strategy. Even if you've protected yourself in the UK, you're not automatically protected in other countries abroad.  In most countries, the 'first to file' system exists, so act early before someone else does.",Read the guidance,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/manage-intellectual-property-and-legal-protection-risk/protect-your-intellectual-property-abroad/,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/manage-intellectual-property-and-legal-protection-risk/protect-your-intellectual-property-abroad/,Guidance,great.gov.uk,yes,Difficult,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20420,Understand local market IP laws ,"To protect your intellectual property when trading overseas or selling online to overseas customers, you usually need to apply for protection in each country you are trading in.","Protecting and managing IP abroad can be very complex. You may want to file separate applications in individual countries or make use of an international process which allows you to file in several countries at once. 

Either way, you should always seek help from an IP attorney or other professional IP advisor.",Read the guidance on GOV.UK,https://www.gov.uk/government/collections/international-ip-service,https://www.gov.uk/government/collections/international-ip-service,Guidance,GOV.UK,no,Difficult,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20430,Identify IP protection organisations ,The organisation you need to contact for help protecting your IP overseas depends on the type of IP you want to protect and which market you are trading in.,The Intellectual Property Office has several country and region-specific guides to help you protect and manage your intellectual property in overseas markets. Giving you advice and guidance on what to do and who to contact in your target market.,Read the guidance on GOV.UK,https://www.gov.uk/government/collections/international-ip-service,https://www.gov.uk/government/collections/international-ip-service,Guidance,GOV.UK,no,Difficult,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20440,Contact the UK overseas intellectual property attach' network,"Find contact details for IP liaison officers in Europe, Southeast Asia, China, Latin America, North America, Gulf States and India.",The UK overseas intellectual property attach' network works with local DBT and FCDO colleagues to provide support for UK businesses seeking advice on local IP matters.,Use this service on GOV.UK,https://www.gov.uk/government/publications/uk-overseas-intellectual-property-attache-network,https://www.gov.uk/government/publications/uk-overseas-intellectual-property-attache-network,Guidance,GOV.UK,yes,Simple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20450,Using the UK overseas intellectual property attache network  ,The UK overseas intellectual property attach' network works with local DBT and FCDO colleagues to provide support for UK businesses seeking advice on local IP matters.,The IP liaison officers also help to raise awareness of IP through business outreach. This includes briefing business delegations and liaising with host governments and stakeholders about local and international IP frameworks.,Use this service on GOV.UK,https://www.gov.uk/government/publications/uk-overseas-intellectual-property-attache-network,https://www.gov.uk/government/publications/uk-overseas-intellectual-property-attache-network,Guidance,GOV.UK,yes,Simple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20510,Get help responding to a request for a quotation ,"Pitching your business, or responding to a tender, in an overseas market are common ways to generate new business. But the challenges you may face are different to those in the UK.","If you don't speak the language you may need to use a local partner to communicate your offer. You can improve your chances of success by speaking with other UK companies who work with your potential buyer. Similarly, trade associations in your sector may be able to offer you advice.",Read the guidance,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/winning-bids-and-expansion/pitching-and-tendering-in-a-new-market/,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/winning-bids-and-expansion/pitching-and-tendering-in-a-new-market/,Guidance,great.gov.uk,no,Simple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20520,Negotiating a price for exports,"You may need to negotiate on price when pitching for new business ' especially if you're selling your product through distribution partners, or as part of a tender process.","How long this takes depends on many factors, such as the complexity of your market, who you're selling to, volume of sales, and how negotiations are handled culturally in your target market. To understand how negotiations take place in your new market, work with local partners who have experience of doing business in the region.",Read the guidance,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/winning-bids-and-expansion/how-handle-price-negotiations/,,Guidance,great.gov.uk,no,Simple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20530,Understand how to conduct due dilligence,Due diligence is a common business process where you perform a detailed review of a potential customer or client before you start doing business with them.,"Due diligence doesn't just mean pages of detailed documentation. It can also mean simply asking the right questions at the right time, keeping your eyes open to things that feel irregular, and getting the right advice if something doesn't feel quite right. ",Read the guidance,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/managing-safety-corruption-and-business-integrity-risk/protect-your-business-bribery-and-corruption/,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/managing-safety-corruption-and-business-integrity-risk/protect-your-business-bribery-and-corruption/,Guidance,great.gov.uk,yes,Simple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20540,Get legal advice,"The Foreign, Commonwealth & Development Office (FCDO) provides lists of English-speaking lawyers abroad to help British nationals find the legal support they need.","You can use this service to find legal representation by country or a more specific location, or by a particular area of legal expertise, such as IP law, property law or tax. All lawyers on the lists have confirmed they can provide services in English.",Use this service on GOV.UK,https://find-a-professional-service-abroad.service.csd.fcdo.gov.uk/find/lawyers,https://find-a-professional-service-abroad.service.csd.fcdo.gov.uk/find/lawyers,Service,GOV.UK,no,Simple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20550,Drafting a contract for export sales,It's important to draft a contract as soon as you've found a potential buyer for your product to make sure you have complete clarity on everything you agree.,"Every contract will be different and dependent on what you agree with the buyer. Seek international legal support to help you with any contract, both in the UK and within your chosen market ' they will have expert knowledge of local laws and key contract considerations.",Read the guidance,https://www.great.gov.uk/learn/categories/prepare-sell-new-country/winning-bids-and-expansion/how-draft-contract/,,Guidance,great.gov.uk,yes,Simple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20610,Understand professional qualification recognition,"The recognition of professional qualifications is a system which allows professionals qualified in one country to practice in another, without having to requalify.","To support mutual recognition with EU and international partners, the UK government encourages regulatory and professional bodies to enter into arrangements which enable the recognition of professional qualifications between the UK and existing or potential international trade partners.   ",Read the guidance on GOV.UK,https://www.gov.uk/government/publications/arrangements-for-the-recognition-of-professional-qualifications/arrangements-to-facilitate-the-recognition-of-professional-qualifications-accessible-webpage,https://www.gov.uk/government/publications/arrangements-for-the-recognition-of-professional-qualifications/arrangements-to-facilitate-the-recognition-of-professional-qualifications-accessible-webpage,Guidance,GOV.UK,no,Difficult,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30110,Check ways to get funding,There are many ways you can finance or fund your export business. The way that's right for you depends on the size and stage of your business.,"Generally, you can borrow money (bank loans, finance platforms) or get someone to invest in your business (equity partnerships). Each method has its pros and cons and there is no universally correct option.",Read the guidance,https://www.great.gov.uk/learn/categories/funding-financing-and-getting-paid/manage-cash-flow/funding-and-credit-options-doing-business-across-borders/,https://www.great.gov.uk/learn/categories/funding-financing-and-getting-paid/manage-cash-flow/funding-and-credit-options-doing-business-across-borders/,Guidance,great.gov.uk,no,Simple,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30120,Find export funding opportunities ,"Putting the right finance and insurance in place can make a difference to all exporters, helping you win contracts, fulfil orders and get paid.","UK Export Finance can help you win contracts by providing attractive financing terms to your buyers. They can also support working capital loans so you can take on and fulfil orders with confidence, and make sure you get paid by offering insurance against buyer default. ",Use this service,https://www.great.gov.uk/get-finance/,https://www.great.gov.uk/get-finance/,Service,great.gov.uk,no,Simple,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30210,Understand the financial risks ,"There's an element of risk whenever you do business overseas. However, the benefits of opening up new markets far outweigh the risks if you plan effectively.","Not getting paid on time, currency fluctuations and changes in shipping rates are all potential financial pitfalls that could affect your export business. Having procedures and finance in place to see you through difficulties should be an essential part of your export planning. ",Read the guidance,https://www.great.gov.uk/learn/categories/funding-financing-and-getting-paid/,https://www.great.gov.uk/learn/categories/funding-financing-and-getting-paid/,Guidance,great.gov.uk,yes,Simple,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30310,Understand UK Export Finance (UKEF),"You can get finance and insurance for your export business from the UK government through UK Export Finance, the UK's export credit agency.","UKEF offers credit insurance, working capital support and bond support to UK exporters. It also supports UK exports with financing terms for international buyers, including direct lending and buyer credit guarantees.",Use this service,https://www.great.gov.uk/get-finance/,https://www.great.gov.uk/get-finance/,Service,great.gov.uk,no,Simple,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40110,Understand product standards and regulations ,"Product standards and market regulations are any legislation set by governments, industry or regulatory bodies which control how your goods can be traded in a market.","It can take a lot of time and resources to fully understand the regulations you may face in different markets, and to achieve the appropriate accreditation necessary for trade. 

You can carry out basic internet research, using the websites of the appropriate regulatory bodies and tools like the UK government's Check international trade barriers service. ",Read the guidance,https://www.great.gov.uk/learn/categories/selling-across-borders-product-and-services-regulations-licensing-and-logistics/get-your-goods-into-the-destination-country/understand-local-market-regulations-products/,,Guidance,great.gov.uk,yes,Difficult,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40130,Explore local rules in a target market ,All export markets have specific rules you'll need to follow if you want to sell your products in that market. It is essential you're up to date with the latest packaging and labelling rules before you start exporting.,"Our Check how to export goods service can help you find the latest rules and regulations in your chosen export market. Search for your market, click on the General Information tab and scroll to the information on packaging and labelling.",Use this service on GOV.UK,https://www.gov.uk/check-duties-customs-exporting,,Service,GOV.UK,yes,Difficult,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40140,Understand relevant export market regulations and certifications,"Certification is sometimes required to prove your product or service complies with local market regulations, such as health and safety or labelling and packaging.","Our Check how to export goods service can help you find the latest regulations and certifications needed to trade your goods in your chosen export market. Search for your market, click on the General Information tab and scroll to the relevant information. ",Use this service on GOV.UK,https://www.gov.uk/check-duties-customs-exporting,,Service,GOV.UK,yes,Difficult,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40150,Understand trade and operational restrictions,Trade and operational restrictions are often implemented by governments to try and offer some protection to local businesses from overseas competition. You should check for any restrictions as a priority before you start exporting your goods or services.,"Our Check how to export goods service can help you find trade and operational restrictions currently in place in your chosen export market. Search for your market, click on the General Information tab and scroll to the relevant information.",Use this service on GOV.UK,https://www.gov.uk/check-duties-customs-exporting,,Service,GOV.UK,yes,Difficult,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40210,Understand product labelling standards,"You cannot always rely on your UK labelling and packaging standards to be compliant in other markets, which may have different requirements. To avoid potential delays, consider what you need to do early in your export journey.","Find information on regulatory requirements on the websites of each country's regulatory body. Pay attention to information like nutrition and allergy pointers and technical information such as required standards. A UK symbol, such as a kitemark, won't apply overseas, and you may need to add new symbols for your market.",Read the guidance,https://www.great.gov.uk/learn/categories/selling-across-borders-product-and-services-regulations-licensing-and-logistics/get-your-goods-into-the-destination-country/labelling-and-packaging/,https://www.great.gov.uk/learn/categories/selling-across-borders-product-and-services-regulations-licensing-and-logistics/get-your-goods-into-the-destination-country/labelling-and-packaging/,Guidance,great.gov.uk,yes,Difficult,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40230,Identify relevant product labelling standards,To make sure your product meets the right standards in your target market you need to ensure your products are labelled correctly. You should also get confirmation your legal responsibilities have been met by your legal representatives.,"Our Check how to export goods service can help you find the latest product labelling standards in your chosen export market. Search for your market, click on the General Information tab and scroll to the information on packaging and labelling. ",Use this service on GOV.UK,https://www.gov.uk/check-duties-customs-exporting,https://www.gov.uk/check-duties-customs-exporting,Service,GOV.UK,yes,Difficult,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
